"","acc"
"1",0.819444444444444
"2",0.736111111111111
"3",0.694444444444444
"4",0.805555555555556
"5",0.791666666666667
"6",0.861111111111111
"7",0.819444444444444
"8",0.875
"9",0.763888888888889
"10",0.875
"11",0.861111111111111
"12",0.763888888888889
"13",0.791666666666667
"14",0.916666666666667
"15",0.833333333333333
"16",0.833333333333333
"17",0.791666666666667
"18",0.916666666666667
"19",0.875
"20",0.805555555555556
"21",0.819444444444444
"22",0.791666666666667
"23",0.888888888888889
"24",0.847222222222222
"25",0.763888888888889
"26",0.805555555555556
"27",0.75
"28",0.833333333333333
"29",0.833333333333333
"30",0.875
"31",0.791666666666667
"32",0.611111111111111
"33",0.819444444444444
"34",0.777777777777778
"35",0.861111111111111
"36",0.805555555555556
"37",0.777777777777778
"38",0.875
"39",0.708333333333333
"40",0.777777777777778
"41",0.833333333333333
"42",0.777777777777778
"43",0.819444444444444
"44",0.847222222222222
"45",0.777777777777778
"46",0.861111111111111
"47",0.847222222222222
"48",0.777777777777778
"49",0.916666666666667
"50",0.888888888888889
